Scenario,Global,Year,HhId,WkrId,Bzone,Azone,Marea,DistanceToWork,PaysForParking,IsCashOut,ParkingCost,IsECO
SayedMM,,2045,ZNHPO2-1092,ZNHPO2-1092-1,101,ZNHPO1,HYPO,4.43837544562545,0,0,0,0
SayedMM,,2045,ZNHPO2-1096,ZNHPO2-1096-1,100,ZNHPO1,HYPO,5.20641494505631,0,0,0,0
SayedMM,,2045,ZNHPO2-1096,ZNHPO2-1096-2,101,ZNHPO1,HYPO,4.43837544562545,0,0,0,0
SayedMM,,2045,ZNHPO2-1098,ZNHPO2-1098-1,101,ZNHPO1,HYPO,4.43837544562545,0,0,0,0
SayedMM,,2045,ZNHPO2-1100,ZNHPO2-1100-1,101,ZNHPO1,HYPO,4.43837544562545,0,0,0,0
SayedMM,,2045,ZNHPO2-1100,ZNHPO2-1100-2,101,ZNHPO1,HYPO,4.43837544562545,0,0,0,0
SayedMM,,2045,ZNHPO2-1102,ZNHPO2-1102-1,103,ZNHPO2,HYPO,4.30626604534842,0,0,0,0
SayedMM,,2045,ZNHPO2-1103,ZNHPO2-1103-1,100,ZNHPO1,HYPO,5.20641494505631,0,0,0,0
SayedMM,,2045,ZNHPO2-1104,ZNHPO2-1104-1,102,ZNHPO2,HYPO,4.30626604534842,0,0,0,0
SayedMM,,2045,ZNHPO2-1104,ZNHPO2-1104-2,103,ZNHPO2,HYPO,4.30626604534842,0,0,0,0
SayedMM,,2045,ZNHPO2-1106,ZNHPO2-1106-1,101,ZNHPO1,HYPO,4.43837544562545,0,0,0,0
SayedMM,,2045,ZNHPO2-1108,ZNHPO2-1108-1,102,ZNHPO2,HYPO,4.30626604534842,0,0,0,0
SayedMM,,2045,ZNHPO2-1109,ZNHPO2-1109-1,100,ZNHPO1,HYPO,5.20641494505631,0,0,0,0
SayedMM,,2045,ZNHPO2-1110,ZNHPO2-1110-1,100,ZNHPO1,HYPO,5.20641494505631,0,0,0,0
SayedMM,,2045,ZNHPO2-1110,ZNHPO2-1110-2,100,ZNHPO1,HYPO,5.20641494505631,0,0,0,0
SayedMM,,2045,ZNHPO2-1112,ZNHPO2-1112-1,100,ZNHPO1,HYPO,9.49146683765361,0,0,0,0
SayedMM,,2045,ZNHPO2-1112,ZNHPO2-1112-2,101,ZNHPO1,HYPO,8.2188908412302,0,0,0,0
SayedMM,,2045,ZNHPO2-1113,ZNHPO2-1113-1,101,ZNHPO1,HYPO,8.2188908412302,0,0,0,0
SayedMM,,2045,ZNHPO2-1113,ZNHPO2-1113-2,103,ZNHPO2,HYPO,4.30626604534842,0,0,0,0
SayedMM,,2045,ZNHPO2-1114,ZNHPO2-1114-1,101,ZNHPO1,HYPO,8.2188908412302,0,0,0,0
SayedMM,,2045,ZNHPO2-1114,ZNHPO2-1114-2,101,ZNHPO1,HYPO,8.2188908412302,0,0,0,0
SayedMM,,2045,ZNHPO2-1115,ZNHPO2-1115-1,103,ZNHPO2,HYPO,4.30626604534842,1,0,0,0
SayedMM,,2045,ZNHPO2-1116,ZNHPO2-1116-1,101,ZNHPO1,HYPO,8.2188908412302,0,0,0,0
SayedMM,,2045,ZNHPO2-1117,ZNHPO2-1117-1,102,ZNHPO2,HYPO,4.30626604534842,0,0,0,0
SayedMM,,2045,ZNHPO2-1118,ZNHPO2-1118-1,102,ZNHPO2,HYPO,4.30626604534842,0,0,0,0
SayedMM,,2045,ZNHPO2-1118,ZNHPO2-1118-2,100,ZNHPO1,HYPO,9.49146683765361,0,0,0,0
SayedMM,,2045,ZNHPO2-1120,ZNHPO2-1120-1,101,ZNHPO1,HYPO,4.43837544562545,1,0,3.15,0
SayedMM,,2045,ZNHPO2-1121,ZNHPO2-1121-1,101,ZNHPO1,HYPO,4.43837544562545,0,0,0,0
SayedMM,,2045,ZNHPO2-1122,ZNHPO2-1122-1,101,ZNHPO1,HYPO,4.43837544562545,0,0,0,0
SayedMM,,2045,ZNHPO2-1122,ZNHPO2-1122-2,100,ZNHPO1,HYPO,5.20641494505631,0,0,0,0
SayedMM,,2045,ZNHPO2-1123,ZNHPO2-1123-1,104,ZNHPO1,HYPO,7.08142408922568,0,0,0,0
SayedMM,,2045,ZNHPO2-1123,ZNHPO2-1123-2,100,ZNHPO1,HYPO,9.49146683765361,0,0,0,0
SayedMM,,2045,ZNHPO2-1125,ZNHPO2-1125-1,100,ZNHPO1,HYPO,9.49146683765361,0,0,0,0
SayedMM,,2045,ZNHPO2-1127,ZNHPO2-1127-1,100,ZNHPO1,HYPO,9.49146683765361,1,0,2.6,0
SayedMM,,2045,ZNHPO2-1127,ZNHPO2-1127-2,102,ZNHPO2,HYPO,4.30626604534842,0,0,0,0
SayedMM,,2045,ZNHPO2-1128,ZNHPO2-1128-1,100,ZNHPO1,HYPO,5.20641494505631,0,0,0,0
SayedMM,,2045,ZNHPO2-1130,ZNHPO2-1130-1,102,ZNHPO2,HYPO,4.30626604534842,0,0,0,0
SayedMM,,2045,ZNHPO2-1131,ZNHPO2-1131-1,100,ZNHPO1,HYPO,5.20641494505631,0,0,0,0
SayedMM,,2045,ZNHPO2-1133,ZNHPO2-1133-1,104,ZNHPO1,HYPO,7.08142408922568,0,0,0,0
SayedMM,,2045,ZNHPO2-1134,ZNHPO2-1134-1,100,ZNHPO1,HYPO,5.20641494505631,0,0,0,0
SayedMM,,2045,ZNHPO2-1135,ZNHPO2-1135-1,101,ZNHPO1,HYPO,4.43837544562545,0,0,0,0
SayedMM,,2045,ZNHPO2-1136,ZNHPO2-1136-1,100,ZNHPO1,HYPO,9.49146683765361,0,0,0,0
SayedMM,,2045,ZNHPO2-1137,ZNHPO2-1137-1,101,ZNHPO1,HYPO,4.43837544562545,0,0,0,0
SayedMM,,2045,ZNHPO2-1138,ZNHPO2-1138-1,101,ZNHPO1,HYPO,4.43837544562545,0,0,0,0
SayedMM,,2045,ZNHPO2-1139,ZNHPO2-1139-1,100,ZNHPO1,HYPO,5.20641494505631,0,0,0,0
SayedMM,,2045,ZNHPO2-1140,ZNHPO2-1140-1,102,ZNHPO2,HYPO,4.30626604534842,0,0,0,0
SayedMM,,2045,ZNHPO2-1141,ZNHPO2-1141-1,104,ZNHPO1,HYPO,7.08142408922568,0,0,0,0
SayedMM,,2045,ZNHPO2-1144,ZNHPO2-1144-1,102,ZNHPO2,HYPO,4.30626604534842,0,0,0,0
SayedMM,,2045,ZNHPO2-1146,ZNHPO2-1146-1,100,ZNHPO1,HYPO,9.49146683765361,0,0,0,0
SayedMM,,2045,ZNHPO2-1146,ZNHPO2-1146-2,104,ZNHPO1,HYPO,7.08142408922568,0,0,0,0
SayedMM,,2045,ZNHPO2-1147,ZNHPO2-1147-1,100,ZNHPO1,HYPO,9.49146683765361,0,0,0,0
SayedMM,,2045,ZNHPO2-1150,ZNHPO2-1150-1,100,ZNHPO1,HYPO,9.49146683765361,0,0,0,0
SayedMM,,2045,ZNHPO2-1150,ZNHPO2-1150-2,100,ZNHPO1,HYPO,9.49146683765361,0,0,0,0
SayedMM,,2045,ZNHPO2-1152,ZNHPO2-1152-1,103,ZNHPO2,HYPO,4.30626604534842,0,0,0,0
SayedMM,,2045,ZNHPO2-1152,ZNHPO2-1152-2,103,ZNHPO2,HYPO,4.30626604534842,0,0,0,0
SayedMM,,2045,ZNHPO2-1154,ZNHPO2-1154-1,102,ZNHPO2,HYPO,4.30626604534842,0,0,0,0
SayedMM,,2045,ZNHPO2-1154,ZNHPO2-1154-2,101,ZNHPO1,HYPO,4.43837544562545,0,0,0,0
SayedMM,,2045,ZNHPO2-1154,ZNHPO2-1154-3,101,ZNHPO1,HYPO,4.43837544562545,0,0,0,0
SayedMM,,2045,ZNHPO2-1157,ZNHPO2-1157-1,101,ZNHPO1,HYPO,4.43837544562545,0,0,0,0
SayedMM,,2045,ZNHPO2-1158,ZNHPO2-1158-1,101,ZNHPO1,HYPO,8.2188908412302,1,0,3.15,0
SayedMM,,2045,ZNHPO2-1159,ZNHPO2-1159-1,101,ZNHPO1,HYPO,4.43837544562545,0,0,0,0
SayedMM,,2045,ZNHPO2-1159,ZNHPO2-1159-2,101,ZNHPO1,HYPO,4.43837544562545,0,0,0,0
SayedMM,,2045,ZNHPO2-1159,ZNHPO2-1159-3,103,ZNHPO2,HYPO,4.30626604534842,0,0,0,0
SayedMM,,2045,ZNHPO2-1160,ZNHPO2-1160-1,103,ZNHPO2,HYPO,4.30626604534842,1,0,0,0
