Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Nottoway County,2024,2427,1025,2001,5025,2213,2903
Nottoway County,2045,2601,1113,1677,4855,2038,3343
Orange County,2024,6704,1924,4178,11561,5584,7578
Orange County,2045,7402,2113,4388,14103,6015,11240
Page County,2024,3804,1379,2483,7183,3693,5235
Page County,2045,3689,1206,2380,7393,3217,6698
Patrick County,2024,2472,845,1407,5084,2970,4777
Patrick County,2045,2295,721,1301,4874,2063,5484
Petersburg City,2024,6678,1560,5191,9828,4458,5692
Petersburg City,2045,6635,1750,5305,10205,4135,6337
Pittsylvania County,2024,8620,3312,6416,17559,9667,14497
Pittsylvania County,2045,9177,3223,5448,18065,7870,14958
Poquoson City,2024,2264,843,1213,4038,1736,2532
Poquoson City,2045,2086,705,1065,4545,2095,4038
Portsmouth City,2024,19278,5268,14756,31039,11978,14800
Portsmouth City,2045,18565,5501,12179,29163,12789,15539
Powhatan County,2024,4555,1629,3103,10829,5046,6185
Powhatan County,2045,4609,1645,3419,13208,5347,9971
Prince Edward County,2024,2773,2920,4627,5564,2432,3697
Prince Edward County,2045,2647,2962,4148,7238,2431,4648
Prince George County,2024,7030,4362,7603,13892,4562,4126
Prince George County,2045,7567,4953,5630,16482,5642,9
Prince William County,2024,107784,35339,62004,175559,56800,54245
Prince William County,2045,144379,42243,85593,236285,65008,99415
Pulaski County,2024,4925,1599,3821,10540,5148,7709
Pulaski County,2045,4504,1360,3134,11017,4463,8915
Radford City,2024,1722,3043,5362,3493,1352,1565
Radford City,2045,1859,2950,5136,4087,1321,1939
Rappahannock County,2024,1014,428,628,2091,1282,1981
Rappahannock County,2045,1075,428,701,2499,964,2161
Richmond City,2024,34774,13956,43143,78165,27294,30880
Richmond City,2045,40544,15737,39885,85261,33146,28309
Richmond County,2024,1367,400,873,3299,1317,1854
Richmond County,2045,1546,437,922,3750,1427,2486
Roanoke City,2024,18866,5490,12878,31885,12505,17268
Roanoke City,2045,21057,5783,13073,32508,13027,18149
Roanoke County,2024,15521,6002,10515,30391,13359,21315
Roanoke County,2045,16645,5775,9607,33177,12871,26257
Rockbridge County,2024,3195,1286,2171,6255,3651,6093
Rockbridge County,2045,3335,1228,2099,7412,3203,7121
Rockingham County,2024,15443,5783,10226,25396,11448,17087
Rockingham County,2045,16672,5601,10326,31096,12631,24631
Russell County,2024,3881,1331,2719,7691,4011,5920
Russell County,2045,3624,1137,2075,7549,3222,6470
Salem City,2024,3976,2014,3563,7587,3381,5023
Salem City,2045,4029,1830,2996,8489,3515,6422
Scott County,2024,3108,1108,2225,6348,3245,5410
Scott County,2045,2895,968,1615,6034,2823,6040
Shenandoah County,2024,7844,2754,4743,13204,6455,9893
Shenandoah County,2045,8520,2809,5017,15156,6580,12887
Smyth County,2024,4601,1625,3235,8956,4296,6782
Smyth County,2045,3917,1186,2351,8839,3740,8013
Southampton County,2024,2742,1076,1673,5665,3000,3896
Southampton County,2045,2778,978,1407,6339,3118,4981
Spotsylvania County,2024,29023,10072,17431,48068,19091,21847
Spotsylvania County,2045,34262,10839,19033,63872,22427,36531
Stafford County,2024,34485,12272,20575,57450,19813,18559
Stafford County,2045,41801,13311,26460,80879,29266,43310
Staunton City,2024,4175,1632,3160,8030,3365,5486
Staunton City,2045,4551,1578,2826,8305,3276,7369
Suffolk City,2024,19091,6074,11499,32715,13281,14779
Suffolk City,2045,21344,6457,12133,38285,16234,22193
Surry County,2024,880,372,602,1825,1233,1624
Surry County,2045,974,382,680,1925,710,1703
Sussex County,2024,1432,418,1555,3809,1483,2063
Sussex County,2045,1351,401,1426,3571,1193,2178
Tazewell County,2024,6420,2338,4205,12023,5535,9339
Tazewell County,2045,6162,1995,3029,11779,5220,10482
Virginia Beach City,2024,84217,26778,64258,154574,57729,71441
Virginia Beach City,2045,89594,26567,63181,160361,63928,101807
Warren County,2024,7403,2342,4859,13615,6196,6976
Warren County,2045,7908,2371,5191,16257,6672,9769
Washington County,2024,7541,3166,5879,16133,8075,13181
Washington County,2045,8218,3064,5201,16980,7200,14871
Waynesboro City,2024,4247,1224,2780,7326,3007,4055
Waynesboro City,2045,4630,1183,2486,7577,2928,5447
Westmoreland County,2024,2800,1004,1897,5035,3067,4921
Westmoreland County,2045,3099,1100,2104,5842,2739,4856
Williamsburg City,2024,1321,3461,3891,2868,1421,2737
Williamsburg City,2045,1546,3509,4238,3614,1532,4757
Winchester City,2024,5268,2594,3688,8446,3352,4867
Winchester City,2045,6328,2778,4191,10102,3508,6848
Wise County,2024,5559,2128,4446,11548,4765,7177
Wise County,2045,5149,1854,3530,10919,4558,7607
Wythe County,2024,4377,1634,2976,8730,4264,6271
Wythe County,2045,4018,1314,2778,9332,3861,7932
York County,2024,13350,4889,7984,22768,9481,12460
York County,2045,12301,4089,7008,25630,11442,19872
