Geo,Year,Latitude,Longitude
5.10131E+11,2024,38.86228206,-77.05319047
5.10131E+11,2024,38.85857132,-77.05289881
5.10131E+11,2024,38.86102602,-77.05263975
5.10131E+11,2024,38.86389144,-77.06663243
5.10131E+11,2024,38.84935156,-77.07080751
5.10131E+11,2024,38.864471,-77.064132
5.10131E+11,2024,38.86079894,-77.05577481
5.10131E+11,2024,38.85495773,-77.06314576
5.10131E+11,2024,38.84729033,-77.0608592
5.10131E+11,2024,38.85383652,-77.05944114
5.10131E+11,2024,38.84558636,-77.06982521
5.10131E+11,2024,38.84907474,-77.07603055
5.10131E+11,2024,38.84511772,-77.07646449
5.10151E+11,2024,38.10990354,-79.31927578
5.10151E+11,2024,38.23953503,-79.35658614
5.10151E+11,2024,38.39024272,-79.18858923
5.10151E+11,2024,38.09369747,-79.39147072
5.10151E+11,2024,38.34084224,-79.0621965
5.10151E+11,2024,38.29274265,-78.9203801
5.10151E+11,2024,38.07475866,-78.83420678
5.10151E+11,2024,38.06221793,-79.36598149
5.10151E+11,2024,38.27960782,-79.10022928
5.10151E+11,2024,38.29176338,-78.99201627
5.10151E+11,2024,38.24315033,-78.95766587
5.10151E+11,2024,38.16583301,-78.83603853
5.10151E+11,2024,38.15417123,-78.88748755
5.10151E+11,2024,38.11991306,-78.88579415
5.10151E+11,2024,38.21430481,-78.87666614
5.10151E+11,2024,38.12471745,-78.81567758
5.10151E+11,2024,38.20197007,-78.80138964
5.10151E+11,2024,38.10490669,-78.92982992
5.10151E+11,2024,38.08148028,-78.96069587
5.10151E+11,2024,38.11890068,-78.98942708
5.10151E+11,2024,38.13847337,-78.97250486
5.10151E+11,2024,38.10550853,-79.00361686
5.10151E+11,2024,38.22490175,-79.12700614
5.10151E+11,2024,38.19751503,-79.14683994
5.10151E+11,2024,38.25266857,-79.22163263
5.10151E+11,2024,38.15230184,-79.12767093
5.10151E+11,2024,38.16321933,-79.19740103
5.10151E+11,2024,38.20058258,-79.22348853
5.10151E+11,2024,38.11150253,-79.08004491
5.10151E+11,2024,38.07831998,-79.06827223
5.10151E+11,2024,38.05159707,-79.26066346
5.10151E+11,2024,37.99703634,-79.20756294
5.10151E+11,2024,38.00549235,-79.12512889
5.10151E+11,2024,37.93754921,-79.14084119
5.10151E+11,2024,38.04906443,-79.03907339
5.10151E+11,2024,38.05122459,-79.00171467
5.10151E+11,2024,38.00209158,-79.03579226
5.10151E+11,2024,38.01156123,-78.91496551
5.10151E+11,2024,37.94435847,-78.98639718
5.10151E+11,2024,38.05891046,-78.97160397
5.10151E+11,2024,38.03167599,-78.96242074
5.1019E+11,2024,37.39236771,-79.37874243
5.10151E+11,2024,38.18323127,-78.99024525
5.10151E+11,2024,38.18649788,-78.95743619
5.10151E+11,2024,38.10508734,-79.15123091
5.10151E+11,2024,38.10995567,-79.06711904
5.10151E+11,2024,38.00333931,-79.01251155
5.10151E+11,2024,38.0291106,-79.01123542
5.10151E+11,2024,38.06281797,-79.01405086
5.10151E+11,2024,37.9808702,-79.0693151
5.10151E+11,2024,38.03309301,-79.06385704
5.10151E+11,2024,38.00030672,-78.9697694
5.10179E+11,2024,37.94204663,-79.69245391
5.10179E+11,2024,38.12944601,-79.69346423
5.10179E+11,2024,38.01242258,-79.78125672
5.10179E+11,2024,38.011934,-79.92131377
5.10179E+11,2024,37.94021723,-79.84276395
5.1019E+11,2024,37.47665052,-79.29274663
5.1019E+11,2024,37.45176654,-79.26756431
5.1019E+11,2024,37.40909227,-79.30573427
5.1019E+11,2024,37.33116932,-79.28124879
5.1019E+11,2024,37.3308157,-79.32461577
5.1019E+11,2024,37.41627065,-79.27603768
5.1019E+11,2024,37.37621063,-79.28732104
5.1019E+11,2024,37.38937746,-79.24700401
5.1019E+11,2024,37.37223228,-79.26240461
5.1019E+11,2024,37.35429528,-79.29120235
5.1019E+11,2024,37.35065275,-79.32116834
5.1019E+11,2024,37.39686852,-79.31797788
5.1019E+11,2024,37.36323067,-79.25965149
5.1019E+11,2024,37.27799545,-79.35038884
5.1019E+11,2024,37.25685494,-79.44310345
5.1019E+11,2024,37.18329881,-79.42704012
5.1019E+11,2024,37.33539964,-79.37402003
5.1019E+11,2024,37.49576895,-79.48408372
5.1019E+11,2024,37.45826534,-79.41100975
5.1019E+11,2024,37.39627785,-79.62540454
5.1019E+11,2024,37.3746587,-79.46598726
5.1019E+11,2024,37.33212165,-79.64410441
5.1019E+11,2024,37.32846287,-79.57653021
5.1019E+11,2024,37.29464266,-79.58934437
5.1019E+11,2024,37.25288907,-79.54437684
5.1019E+11,2024,37.33667469,-79.45125256
5.1019E+11,2024,37.22823872,-79.62092409
5.1019E+11,2024,37.10549457,-79.48310324
5.1019E+11,2024,37.17412544,-79.54829982
5.1019E+11,2024,37.11993077,-79.61524691
5.1019E+11,2024,37.07725746,-79.58909405
5.1019E+11,2024,37.06008413,-79.52790848
5.1019E+11,2024,37.16645243,-79.62770728
5.1019E+11,2024,37.17486697,-79.70203669
5.1019E+11,2024,37.1705363,-79.67067257
5.1019E+11,2024,37.23556414,-79.71325674
5.1019E+11,2024,37.21030358,-79.75727857
5.1019E+11,2024,37.26813907,-79.82562176
5.1019E+11,2024,37.23898425,-79.82302201
5.1019E+11,2024,37.25257501,-79.77680709
5.1019E+11,2024,37.26646329,-79.72443519
5.1019E+11,2024,37.29485561,-79.80151238
5.1019E+11,2024,37.28546505,-79.67922824
5.1019E+11,2024,37.32556002,-79.76054808
5.1019E+11,2024,37.36050645,-79.73043386
5.1019E+11,2024,37.39117056,-79.72568898
5.10191E+11,2024,37.3301062,-79.5350631
5.1019E+11,2024,37.3726826,-79.55151053
5.1019E+11,2024,37.20441928,-79.71644405
5.1019E+11,2024,37.42764714,-79.70125751
5.1019E+11,2024,37.30252344,-79.49552411
5.10191E+11,2024,37.32932931,-79.50864881
5.10191E+11,2024,37.34284954,-79.50388125
5.10191E+11,2024,37.34742347,-79.5241226
5.1021E+11,2024,37.0385901,-81.29700195
5.1021E+11,2024,37.2175859,-81.05416195
5.1021E+11,2024,37.09424488,-81.00756588
5.1021E+11,2024,37.20880634,-81.19194635
5.1021E+11,2024,37.16329902,-80.99611298
5.1021E+11,2024,37.12924798,-81.20556685
5.1023E+11,2024,37.63888734,-79.73893607
5.1023E+11,2024,37.49143631,-79.75657109
5.1023E+11,2024,37.51872655,-79.8479319
5.1023E+11,2024,37.45164102,-79.90385027
5.1023E+11,2024,37.72369354,-79.78236038
5.1023E+11,2024,37.58506647,-79.78907292
5.1023E+11,2024,37.56348458,-79.69862412
5.1023E+11,2024,37.54256099,-79.60795763
5.1023E+11,2024,37.61884493,-79.91994284
5.1023E+11,2024,37.49896668,-79.69170666
5.1023E+11,2024,37.47734915,-79.8680851
5.1023E+11,2024,37.41815408,-79.89623178
5.1023E+11,2024,37.41035589,-79.97372219
5.1023E+11,2024,37.43383401,-79.9333248
5.1023E+11,2024,37.48330622,-79.97933636
5.1023E+11,2024,37.41084503,-79.85671136
5.1023E+11,2024,37.43688324,-79.8083137
5.1023E+11,2024,37.39099533,-79.88783151
5.1023E+11,2024,37.35716057,-79.86540399
5.1023E+11,2024,37.36409386,-79.83816734
5.1023E+11,2024,37.38796629,-79.82032206
5.1023E+11,2024,37.33687012,-79.83578942
5.1023E+11,2024,37.36390171,-79.79938013
5.1027E+11,2024,37.46465402,-82.02242096
5.1023E+11,2024,37.36908918,-79.91028371
5.1023E+11,2024,37.3569765,-79.88483685
5.1023E+11,2024,37.35096057,-79.90050484
5.10259E+11,2024,36.95229252,-77.93943562
5.10259E+11,2024,36.85438409,-77.95925229
5.10259E+11,2024,36.80091542,-77.83614456
5.10259E+11,2024,36.93392357,-77.82228535
5.10259E+11,2024,36.74393528,-77.74268124
5.10259E+11,2024,36.87044826,-77.75918007
5.10259E+11,2024,36.80239056,-77.71755648
5.10259E+11,2024,36.72960192,-77.86029447
5.10259E+11,2024,36.78262165,-77.82158711
