GeoIDTxt,Urban,Town,Rural
510131028043,17.35,0.00,0.00
510131028044,39.58,0.00,0.00
510131029011,39.08,0.00,0.00
510131029012,64.11,0.00,0.00
510131029013,35.73,0.00,0.00
510131029031,88.95,0.00,0.00
510131029041,18.70,0.00,0.00
510131029042,33.89,0.00,0.00
510131029043,44.67,0.00,0.00
510131030001,58.51,0.00,0.00
510131030002,68.95,0.00,0.00
510131030003,55.57,0.00,0.00
510131031001,291.94,0.00,0.00
510131031002,107.76,0.00,0.00
510131031003,64.13,0.00,0.00
510131032001,17.22,0.00,0.00
510131032002,49.29,0.00,0.00
510131032003,96.28,0.00,0.00
510131032004,78.43,0.00,0.00
510131033001,83.92,0.00,0.00
510131033002,24.57,0.00,0.00
510131034011,284.99,0.00,0.00
510131034012,20.54,0.00,0.00
510131034031,73.41,0.00,0.00
510131034041,114.13,0.00,0.00
510131034051,44.87,0.00,0.00
510131034052,20.52,0.00,0.00
510131034053,29.81,0.00,0.00
510131035011,44.80,0.00,0.00
510131035012,11.73,0.00,0.00
510131035013,32.60,0.00,0.00
510131035031,13.82,0.00,0.00
510131035032,6.49,0.00,0.00
510131035033,11.56,0.00,0.00
510131035034,9.31,0.00,0.00
510131035035,8.46,0.00,0.00
510131035041,26.11,0.00,0.00
510131035042,5.62,0.00,0.00
510131035051,44.48,0.00,0.00
510131035052,29.18,0.00,0.00
510131035053,16.77,0.00,0.00
510131035054,20.94,0.00,0.00
510131036011,61.84,0.00,0.00
510131036012,59.34,0.00,0.00
510131036013,60.11,0.00,0.00
510131036021,13.87,0.00,0.00
510131036022,29.31,0.00,0.00
510131037001,130.21,0.00,0.00
510131037002,220.09,0.00,0.00
510131038001,35.35,0.00,0.00
510131038002,67.05,0.00,0.00
510131038003,32.01,0.00,0.00
510131038004,71.84,0.00,0.00
510139801001,1063.37,0.00,0.00
510139802001,735.48,0.00,0.00
510150701001,0.00,5457.29,5457.29
510150701002,0.00,1489.25,1489.25
510150701003,0.00,9753.79,9753.79
510150701004,0.00,79.19,79.19
510150702001,0.00,9221.69,9221.69
510150702002,0.00,5518.32,5518.32
510150702003,0.00,7843.18,7843.18
510150703001,0.00,9218.92,9218.92
510150703002,0.00,4238.65,4238.65
510150703003,0.00,969.38,969.38
510150703004,0.00,4023.59,4023.59
510150704001,0.00,7862.47,7862.47
510150704002,0.00,3900.39,3900.39
510150704003,0.00,1459.89,1459.89
510150705001,0.00,2600.66,2600.66
510150705002,0.00,2370.51,2370.51
510150705003,0.00,2383.14,2383.14
510150705004,0.00,3717.06,3717.06
510150706011,0.00,3770.94,0.00
510150706012,0.00,2513.19,0.00
510150706021,0.00,1511.15,0.00
510150706022,0.00,2293.45,0.00
510150706031,0.00,684.43,0.00
510150706032,0.00,4986.06,4986.06
510150707011,0.00,4089.22,4089.22
510150707012,0.00,1382.55,1382.55
510150707013,0.00,2682.21,0.00
510150707021,0.00,1334.65,0.00
510150707022,0.00,4385.13,4385.13
510150708011,0.00,3437.78,3437.78
510150708012,0.00,3648.85,3648.85
510150708021,0.00,5406.63,5406.63
510150708022,0.00,795.86,795.86
510150708023,0.00,6815.03,6815.03
510150708024,0.00,1137.59,1137.59
510150709001,0.00,18224.59,0.00
510150709002,0.00,619.34,619.34
510150709003,1021.11,0.00,0.00
510150709004,0.00,15030.60,0.00
510150710001,0.00,17737.50,17737.50
510150710002,0.00,9022.65,9022.65
510150710003,0.00,4572.09,4572.09
510150710004,0.00,5324.30,5324.30
510150711011,0.00,1180.55,1180.55
510150711012,0.00,1174.76,1174.76
510150711013,0.00,430.91,430.91
510150711014,0.00,618.02,618.02
510150711021,0.00,1166.33,1166.33
510150711022,0.00,1860.91,1860.91
510150711023,0.00,1619.92,1619.92
510150711024,0.00,355.48,355.48
510150712011,0.00,4858.60,0.00
510150712012,0.00,3410.88,3410.88
510150712021,0.00,3381.33,0.00
510150712022,0.00,1208.46,1208.46
510150712023,0.00,2042.75,2042.75
510179201011,0.00,10726.16,10726.16
510179201012,0.00,41629.66,41629.66
510179201021,0.00,5338.75,5338.75
510179201022,0.00,23045.70,0.00
510179201023,0.00,5242.22,0.00
510190301011,0.00,9486.45,9486.45
510190301012,0.00,1429.99,1429.99
510190301013,0.00,1404.81,1404.81
510190301014,0.00,2278.05,2278.05
510190301031,0.00,2084.65,0.00
510190301032,0.00,2360.91,0.00
510190301033,0.00,930.25,0.00
510190301034,1049.23,0.00,0.00
510190301041,667.91,0.00,0.00
510190301042,268.61,0.00,0.00
510190301043,2638.62,0.00,0.00
510190302021,0.00,11688.03,0.00
510190302022,0.00,25639.09,0.00
510190302023,0.00,14466.60,14466.60
510190302031,4171.24,0.00,0.00
510190302032,3622.47,0.00,0.00
510190302041,10107.97,0.00,0.00
510190302042,0.00,11424.78,0.00
510190303001,0.00,13893.44,13893.44
510190303002,0.00,17113.21,17113.21
510190304011,0.00,8417.23,8417.23
